Country,Crop,Phase,Meantha,Variance,StdDev,Mintha,Maxtha,ObsCount,NeutralMean,RiskPct
Afghanistan,Apples,ElNino,8.2258,0.0,0.0,8.2258,8.2258,1,7.311279999999999,12.508343272313475
Afghanistan,Apples,LaNina,9.0196,0.0,0.0,9.0196,9.0196,1,7.311279999999999,23.365539276296374
Afghanistan,Apples,Neutral,7.311279999999999,0.5168777520000005,0.718942106153201,6.8018,8.321200000000001,5,7.311279999999999,0.0
Afghanistan,Apricots,ElNino,8.0819,0.0,0.0,8.0819,8.0819,1,7.15304,12.985527831523372
Afghanistan,Apricots,LaNina,8.8671,0.0,0.0,8.8671,8.8671,1,7.15304,23.962678805095468
Afghanistan,Apricots,Neutral,7.15304,0.5237190229999995,0.7236843393358734,6.639,8.1619,5,7.15304,0.0
Afghanistan,Barley,ElNino,1.0857,0.0,0.0,1.0857,1.0857,1,1.07942,0.5817939263678701
Afghanistan,Barley,LaNina,1.1297,0.0,0.0,1.1297,1.1297,1,1.07942,4.658057104741424
Afghanistan,Barley,Neutral,1.07942,2.6192000000000775e-05,0.0051178120324999014,1.0714,1.0857,5,1.07942,0.0
Afghanistan,Cantaloupes and other melons,ElNino,5.4545,0.0,0.0,5.4545,5.4545,1,5.05794,7.840346069743809
Afghanistan,Cantaloupes and other melons,LaNina,6.25,0.0,0.0,6.25,6.25,1,5.05794,23.5680929390226
Afghanistan,Cantaloupes and other melons,Neutral,5.05794,0.09702870799999991,0.31149431455485654,4.7576,5.4412,5,5.05794,0.0
Afghanistan,"Cereals, primary",ElNino,1.0989,0.0,0.0,1.0989,1.0989,1,1.0550000000000002,4.161137440758276
Afghanistan,"Cereals, primary",LaNina,1.2245,0.0,0.0,1.2245,1.2245,1,1.0550000000000002,16.066350710900448
Afghanistan,"Cereals, primary",Neutral,1.0550000000000002,0.002893194999999991,0.05378842812352849,0.9858,1.1151,5,1.0550000000000002,0.0
Afghanistan,"Citrus Fruit, Total",ElNino,8.4647,0.0,0.0,8.4647,8.4647,1,7.487899999999999,13.045046007558886
Afghanistan,"Citrus Fruit, Total",LaNina,9.2929,0.0,0.0,9.2929,9.2929,1,7.487899999999999,24.10555696523726
Afghanistan,"Citrus Fruit, Total",Neutral,7.487899999999999,0.5898394999999999,0.7680100910795378,6.9444,8.571399999999999,5,7.487899999999999,0.0
Afghanistan,"Fibre Crops, Fibre Equivalent",ElNino,0.333,0.0,0.0,0.333,0.333,1,0.31228,6.635071090047398
Afghanistan,"Fibre Crops, Fibre Equivalent",LaNina,0.4706,0.0,0.0,0.4706,0.4706,1,0.31228,50.6980914563853
Afghanistan,"Fibre Crops, Fibre Equivalent",Neutral,0.31228,0.008506057000000001,0.0922282874176898,0.2306,0.4594,5,0.31228,0.0
Afghanistan,Figs,ElNino,3.0252,0.0,0.0,3.0252,3.0252,1,2.6831,12.750177034027798
Afghanistan,Figs,LaNina,3.3182,0.0,0.0,3.3182,3.3182,1,2.6831,23.670381275390405
Afghanistan,Figs,Neutral,2.6831,0.06672812000000004,0.2583178662036369,2.5,3.0457,5,2.6831,0.0
Afghanistan,Fruit Primary,ElNino,6.0765,0.0,0.0,6.0765,6.0765,1,5.54138,9.656800291624108
Afghanistan,Fruit Primary,LaNina,6.6352,0.0,0.0,6.6352,6.6352,1,5.54138,19.739126354806924
Afghanistan,Fruit Primary,Neutral,5.54138,0.19000990199999948,0.4359012525790669,5.205,6.1484,5,5.54138,0.0
Afghanistan,Grapes,ElNino,5.2182,0.0,0.0,5.2182,5.2182,1,4.75952,9.637106262816422
Afghanistan,Grapes,LaNina,5.6193,0.0,0.0,5.6193,5.6193,1,4.75952,18.064426664873764
Afghanistan,Grapes,Neutral,4.75952,0.13140315200000002,0.36249572687136605,4.5,5.25,5,4.75952,0.0
Afghanistan,Linseed,ElNino,0.406,0.0,0.0,0.406,0.406,1,0.38888,4.402386340259213
Afghanistan,Linseed,LaNina,0.4274,0.0,0.0,0.4274,0.4274,1,0.38888,9.905369265583213
Afghanistan,Linseed,Neutral,0.38888,0.000549552000000001,0.02344252546122113,0.3631999999999999,0.4274,5,0.38888,0.0
Afghanistan,Maize (corn),ElNino,1.44,0.0,0.0,1.44,1.44,1,1.41834,1.5271373577562513
Afghanistan,Maize (corn),LaNina,1.4144,0.0,0.0,1.4144,1.4144,1,1.41834,-0.27778952860384903
Afghanistan,Maize (corn),Neutral,1.41834,0.0003136780000000009,0.01771095706053179,1.4,1.44,5,1.41834,0.0
Afghanistan,Millet,ElNino,0.8364,0.0,0.0,0.8364,0.8364,1,0.82412,1.4900742610299555
Afghanistan,Millet,LaNina,0.8475,0.0,0.0,0.8475,0.8475,1,0.82412,2.8369654904625623
Afghanistan,Millet,Neutral,0.82412,0.00016644199999999972,0.012901240250456532,0.8085,0.8421000000000001,5,0.82412,0.0
Afghanistan,"Oilcrops, Cake Equivalent",ElNino,0.3132,0.0,0.0,0.3132,0.3132,1,0.29529999999999995,6.061632238401636
Afghanistan,"Oilcrops, Cake Equivalent",LaNina,0.3735,0.0,0.0,0.3735,0.3735,1,0.29529999999999995,26.481544192346785
Afghanistan,"Oilcrops, Cake Equivalent",Neutral,0.29529999999999995,0.0021184000000000025,0.046026079563656105,0.252,0.3678,5,0.29529999999999995,0.0
Afghanistan,"Oilcrops, Oil Equivalent",ElNino,0.1681,0.0,0.0,0.1681,0.1681,1,0.15889999999999996,5.7898049087476675
Afghanistan,"Oilcrops, Oil Equivalent",LaNina,0.2057,0.0,0.0,0.2057,0.2057,1,0.15889999999999996,29.45248584015107
Afghanistan,"Oilcrops, Oil Equivalent",Neutral,0.15889999999999996,0.0007960700000000013,0.02821471247416853,0.1336999999999999,0.2072,5,0.15889999999999996,0.0
Afghanistan,Olives,ElNino,1.6667,0.0,0.0,1.6667,1.6667,1,1.76666,-5.658134558998326
Afghanistan,Olives,LaNina,1.6667,0.0,0.0,1.6667,1.6667,1,1.76666,-5.658134558998326
Afghanistan,Olives,Neutral,1.76666,0.008326667999999988,0.0912505780803606,1.6667,1.8333,5,1.76666,0.0
Afghanistan,Oranges,ElNino,8.6164,0.0,0.0,8.6164,8.6164,1,7.61876,13.094519318104265
Afghanistan,Oranges,LaNina,9.4388,0.0,0.0,9.4388,9.4388,1,7.61876,23.88892680698697
Afghanistan,Oranges,Neutral,7.61876,0.6082943480000005,0.779932271418487,7.0629,8.693200000000001,5,7.61876,0.0
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,ElNino,8.8235,0.0,0.0,8.8235,8.8235,1,8.8235,0.0
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,LaNina,8.8235,0.0,0.0,8.8235,8.8235,1,8.8235,0.0
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,Neutral,8.8235,0.0,0.0,8.8235,8.8235,5,8.8235,0.0
Afghanistan,"Other citrus fruit, n.e.c.",ElNino,8.1707,0.0,0.0,8.1707,8.1707,1,7.2325,12.972001382647772
Afghanistan,"Other citrus fruit, n.e.c.",LaNina,9.0099,0.0,0.0,9.0099,9.0099,1,7.2325,24.575181472519876
Afghanistan,"Other citrus fruit, n.e.c.",Neutral,7.2325,0.5587501999999999,0.747495953166303,6.7123,8.3333,5,7.2325,0.0
Afghanistan,"Other fruits, n.e.c.",ElNino,6.3984,0.0,0.0,6.3984,6.3984,1,5.61084,14.036400966700175
Afghanistan,"Other fruits, n.e.c.",LaNina,7.1047,0.0,0.0,7.1047,7.1047,1,5.61084,26.62453393787741
Afghanistan,"Other fruits, n.e.c.",Neutral,5.61084,0.5156989079999996,0.7181217918988392,5.0109,6.660699999999999,5,5.61084,0.0
Afghanistan,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",ElNino,1.5375,0.0,0.0,1.5375,1.5375,1,1.52736,0.6638906348208697
Afghanistan,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",LaNina,1.2632,0.0,0.0,1.2632,1.2632,1,1.52736,-17.295202178923105
Afghanistan,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Neutral,1.52736,0.01878408800000001,0.13705505463134152,1.4054,1.7622,5,1.52736,0.0
Afghanistan,Other pulses n.e.c.,ElNino,0.9042,0.0,0.0,0.9042,0.9042,1,0.88734,1.900060856041651
Afghanistan,Other pulses n.e.c.,LaNina,0.8332999999999999,0.0,0.0,0.8332999999999999,0.8332999999999999,1,0.88734,-6.0901120201952
Afghanistan,Other pulses n.e.c.,Neutral,0.88734,0.00028834300000000026,0.016980665475769794,0.8711,0.9156,5,0.88734,0.0
Afghanistan,Other stone fruits,ElNino,7.673,0.0,0.0,7.673,7.673,1,6.829679999999999,12.347869885558348
